question,answer_en,answer_hi,answer_mr
What are the Vocational Courses After 12th,"SEO (Search Engine Optimisation) Training
Digital Marketing
Photography
dia Management
Hospitality, Catering, Travel, Tourism and Service Industry
Fashion Technology
Interior Design
Bakery and Confectionery
Jewellery & Accessory Design
Fashion Technology
Boutique Management
Interior Design & Styling","SEO (सर्च इंजन ऑप्टिमाइजेशन) ट्रेनिंग
डिजिटल विपणन
फोटोग्राफी
दीया प्रबंधन
आतिथ्य, खानपान, यात्रा, पर्यटन और सेवा उद्योग
फैशन प्रौद्योगिकी
आंतरिक सज्जा
बेकरी और कन्फेक्शनरी
आभूषण और सहायक डिजाइन
फैशन प्रौद्योगिकी
बुटीक प्रबंधन
इंटीरियर डिजाइन और स्टाइलिंग","एसइओ (सर्च इंजिन ऑप्टिमायझेशन) प्रशिक्षण
डिजिटल मार्केटिंग
छायाचित्रण
dia व्यवस्थापन
आदरातिथ्य, खानपान, प्रवास, पर्यटन आणि सेवा उद्योग
फॅशन तंत्रज्ञान
आंतरिक नक्षीकाम
बेकरी आणि कन्फेक्शनरी
ज्वेलरी आणि ऍक्सेसरी डिझाइन
फॅशन तंत्रज्ञान
बुटीक व्यवस्थापन
इंटिरियर डिझाइन आणि स्टाइलिंग"
What are the Vocational Courses After 10th?,"Physiotherapy Technician 
Medical Lab Technology course
Marketing & Salesmanship
Accounting & Taxation
Office Assistantship
Insurance & Marketing
Sports Nutrition
HR Management
Retail Business
Public Administration
Animation
Robotics
Audio Technician
Insurance
Law
Office Management","फिजियोथेरेपी तकनीशियन
मेडिकल लैब टेक्नोलॉजी कोर्स
मार्केटिंग और सेल्समैनशिप
लेखांकन और कराधान
ऑफिस असिस्टेंटशिप
बीमा और विपणन
खेल पोषण
एच आर प्रबंधन
फुटकर व्यापार
लोक प्रशासन
एनीमेशन
रोबोटिक
ऑडियो तकनीशियन
बीमा
कानून
कार्यालय प्रबंधन","फिजिओथेरपी तंत्रज्ञ
वैद्यकीय प्रयोगशाळा तंत्रज्ञान अभ्यासक्रम
विपणन आणि विक्री
लेखा आणि कर
ऑफिस असिस्टंटशिप
विमा आणि विपणन
क्रीडा पोषण
एचआर व्यवस्थापन
किरकोळ व्यवसाय
सार्वजनिक प्रशासन
अॅनिमेशन
रोबोटिक्स
ऑडिओ तंत्रज्ञ
विमा
कायदा
कार्यालय व्यवस्थापन"
What are the advantages of vocational courses?,"Having done a vocational course can boost a person’s employability in that particular sector as it essentially gives them all the skills required to perform at that job profile
It is usually cheaper to do a vocational course than to take an admission in a degree course. Hence, someone with insufficient funds can also avail for a vocational course
Doing a vocational course after 12th provides real life industry experience to the students which a degree course generally lacks. The existing market trends are better understood when you are associated with it directly
They can be taken online as well because of the convenient and easy learning process.","वोकेशनल कोर्स करने से उस क्षेत्र विशेष में किसी व्यक्ति की रोजगार क्षमता को बढ़ावा मिल सकता है क्योंकि यह अनिवार्य रूप से उन्हें उस जॉब प्रोफाइल में प्रदर्शन करने के लिए आवश्यक सभी कौशल प्रदान करता है।
डिग्री कोर्स में प्रवेश लेने की तुलना में व्यावसायिक पाठ्यक्रम करना आमतौर पर सस्ता होता है। इसलिए, अपर्याप्त धन वाला कोई व्यक्ति भी व्यावसायिक पाठ्यक्रम का लाभ उठा सकता है
12वीं के बाद वोकेशनल कोर्स करने से स्टूडेंट्स को रियल लाइफ इंडस्ट्री का अनुभव मिलता है, जिसमें डिग्री कोर्स का आमतौर पर अभाव होता है। मौजूदा बाजार के रुझान को बेहतर ढंग से समझा जाता है जब आप इससे सीधे जुड़े होते हैं
सुविधाजनक और आसान सीखने की प्रक्रिया के कारण उन्हें ऑनलाइन भी लिया जा सकता है।","व्यावसायिक अभ्यासक्रम केल्याने एखाद्या व्यक्तीची त्या विशिष्ट क्षेत्रातील रोजगारक्षमता वाढू शकते कारण ते त्यांना त्या जॉब प्रोफाइलमध्ये कार्य करण्यासाठी आवश्यक असलेली सर्व कौशल्ये प्रदान करते.
पदवी अभ्यासक्रमाला प्रवेश घेण्यापेक्षा व्यावसायिक अभ्यासक्रम करणे सहसा स्वस्त असते. त्यामुळे, अपुरा निधी असलेल्या व्यक्तीलाही व्यावसायिक अभ्यासक्रमाचा लाभ घेता येईल
12वी नंतर व्यावसायिक अभ्यासक्रम केल्याने विद्यार्थ्यांना वास्तविक जीवनाचा उद्योग अनुभव मिळतो ज्याची सामान्यत: पदवी अभ्यासक्रमात कमतरता असते. जेव्हा तुम्ही त्याच्याशी थेट संबंधित असता तेव्हा विद्यमान बाजारातील ट्रेंड अधिक चांगल्या प्रकारे समजतात
सोयीस्कर आणि सुलभ शिक्षण प्रक्रियेमुळे ते ऑनलाइन देखील घेतले जाऊ शकतात."
What are the career options in commerce ?,"Chartered Accountancy (CA)
Company Secretary (CS)
Cost and Management Accountant (CMA)
Certified Financial Planner (CFP)
Journalism and Mass Communication.
Hotel Management Courses.
Bachelor of Statistics.
Diploma in Digital Marketing.","चार्टर्ड एकाउंटेंसी (सीए)
कंपनी सचिव (सीएस)
लागत और प्रबंधन लेखाकार (सीएमए)
प्रमाणित वित्तीय योजनाकार (सीएफपी)
पत्रकारिता और जनसंचार।
होटल प्रबंधन पाठ्यक्रम।
सांख्यिकी स्नातक।
डिजिटल मार्केटिंग में डिप्लोमा।","चार्टर्ड अकाउंटन्सी (CA)
कंपनी सचिव (CS)
खर्च आणि व्यवस्थापन लेखापाल (CMA)
प्रमाणित आर्थिक नियोजक (CFP)
पत्रकारिता आणि जनसंवाद.
हॉटेल मॅनेजमेंट कोर्सेस.
बॅचलर ऑफ स्टॅटिस्टिक्स.
डिजीटल मार्केटिंग मध्ये डिप्लोमा."
How to be a CA?,"This course is offered by ICAI (Institute of Charted Accountants of India).   After 12th grade student can peruse CA which is a course of 5 years with a designated syllabus and certificate which is approved by a statutory body that the accounting professional can handle the accounting, taxation, filing returns and taking care of financial statements of business and individuals and maintaining records.","यह कोर्स आईसीएआई (इंस्टीट्यूट ऑफ चार्टर्ड अकाउंटेंट्स ऑफ इंडिया) द्वारा संचालित किया जाता है। 12 वीं कक्षा के बाद छात्र सीए को पढ़ सकते हैं जो एक निर्दिष्ट पाठ्यक्रम और प्रमाण पत्र के साथ 5 साल का कोर्स है जिसे एक वैधानिक निकाय द्वारा अनुमोदित किया जाता है कि लेखा पेशेवर लेखांकन, कराधान, रिटर्न दाखिल करने और व्यवसाय और व्यक्तियों के वित्तीय विवरणों की देखभाल कर सकता है। और रिकॉर्ड बनाए रखना।","हा कोर्स ICAI (Institute of Charted Accountants of India) द्वारे ऑफर केला जातो. 12 वी नंतर विद्यार्थी CA चा अभ्यास करू शकतो जो 5 वर्षांचा अभ्यासक्रम आहे ज्याला एका वैधानिक संस्थेने मान्यता दिली आहे ज्याला लेखा व्यावसायिक लेखा, कर आकारणी, रिटर्न भरणे आणि व्यवसाय आणि व्यक्तींच्या आर्थिक विवरणांची काळजी घेऊ शकतो. आणि नोंदी राखणे."
How to be a CS?,"This course is offered by ICSI (Institute of company secretaries of India). The company secretary is responsible to manage the administration of the company. Ensuring regulatory and statutory requirements and ensuring the pronouncements of board of directors of the company are implemented.
It is offered in 3 programs – Foundation, Executive and Professional Programme. Each of which is a minimum of 1 year.

Career options - Compliance officer, chief advisor to the board of directors of a company, Legal advisor, public and private sector jobs","यह कोर्स आईसीएसआई (इंस्टीट्यूट ऑफ कंपनी सेक्रेटरीज ऑफ इंडिया) द्वारा कराया जाता है। कंपनी सचिव कंपनी के प्रशासन का प्रबंधन करने के लिए जिम्मेदार है। नियामक और वैधानिक आवश्यकताओं को सुनिश्चित करना और कंपनी के निदेशक मंडल की घोषणाओं को सुनिश्चित करना लागू किया जाता है।
यह 3 कार्यक्रमों में पेश किया जाता है - फाउंडेशन, कार्यकारी और व्यावसायिक कार्यक्रम। जिनमें से प्रत्येक न्यूनतम 1 वर्ष है।

करियर विकल्प - अनुपालन अधिकारी, कंपनी के निदेशक मंडल के मुख्य सलाहकार, कानूनी सलाहकार, सार्वजनिक और निजी क्षेत्र की नौकरियां","हा कोर्स ICSI (Institute of Company secretaries of India) द्वारे ऑफर केला जातो. कंपनीचे प्रशासन व्यवस्थापित करण्यासाठी कंपनी सचिव जबाबदार असतात. नियामक आणि वैधानिक आवश्यकता सुनिश्चित करणे आणि कंपनीच्या संचालक मंडळाच्या घोषणांची अंमलबजावणी करणे सुनिश्चित करणे.
हे 3 कार्यक्रमांमध्ये दिले जाते - फाउंडेशन, एक्झिक्युटिव्ह आणि प्रोफेशनल प्रोग्राम. त्यापैकी प्रत्येक किमान 1 वर्षाचा आहे.

करिअर पर्याय - अनुपालन अधिकारी, कंपनीच्या संचालक मंडळाचे मुख्य सल्लागार, कायदेशीर सल्लागार, सार्वजनिक आणि खाजगी क्षेत्रातील नोकऱ्या"
what are the highest paying jobs in india?,"Merchant Navy 
Civil Services
Doctors
IT Professionals","व्यापारी जहाज
नागरिक सेवाएं
डॉक्टरों
आईटी पेशेवर","मर्चंट नेव्ही
नागरी सेवा
डॉक्टर
आयटी व्यावसायिक"
What is Merchant Navy? ,"Merchant Navy is a very demanding profession and accordingly compensated well on the monetary front. The payment is an attractive factor for joining the merchant navy. However, the entry-level positions are paid more or less as the ground staff, but as you gain on experience, the compensation is rewarding.
Qualification Required:
The education required for the merchant navy is completing class 12th with Mathematics, Chemistry & Physics.","मर्चेंट नेवी एक बहुत ही मांग वाला पेशा है और तदनुसार मौद्रिक मोर्चे पर अच्छी तरह से मुआवजा दिया जाता है। मर्चेंट नेवी में शामिल होने के लिए भुगतान एक आकर्षक कारक है। हालांकि, ग्राउंड स्टाफ के रूप में प्रवेश स्तर के पदों को कमोबेश भुगतान किया जाता है, लेकिन जैसा कि आप अनुभव प्राप्त करते हैं, मुआवजा फायदेमंद होता है।
योग्यता आवश्यक:
मर्चेंट नेवी के लिए आवश्यक शिक्षा गणित, रसायन विज्ञान और भौतिकी के साथ 12 वीं कक्षा पूरी कर रही है।","मर्चंट नेव्ही हा एक अतिशय मागणी करणारा व्यवसाय आहे आणि त्यानुसार आर्थिक आघाडीवर चांगली भरपाई दिली जाते. मर्चंट नेव्हीमध्ये सामील होण्यासाठी पेमेंट हा एक आकर्षक घटक आहे. तथापि, एंट्री-लेव्हल पोझिशन्स ग्राउंड स्टाफ म्हणून कमी-जास्त प्रमाणात दिले जातात, परंतु जसे तुम्ही अनुभव मिळवाल, भरपाई फायद्याची आहे.
आवश्यक पात्रता:
मर्चंट नेव्हीसाठी आवश्यक असलेले शिक्षण गणित, रसायनशास्त्र आणि भौतिकशास्त्रासह बारावी पूर्ण करत आहे."
What are jobs in civil services?,"Indian Civil Services is, by far, one of the most prestigious services in the Indian landscape. The job promises not only the Highest Paying Jobs in India but also job security and value in terms of the outlook of people towards civil servants.

Three significant classifications – IAS – Indian Administrative Services, IFS – Indian Foreign Services & IPS – Indian Police Services can be chosen under civil services.","भारतीय सिविल सेवा, भारतीय परिदृश्य में अब तक की सबसे प्रतिष्ठित सेवाओं में से एक है। नौकरी न केवल भारत में सबसे अधिक भुगतान वाली नौकरियों का वादा करती है, बल्कि नौकरी की सुरक्षा और सिविल सेवकों के प्रति लोगों के दृष्टिकोण के संदर्भ में मूल्य का भी वादा करती है।

तीन महत्वपूर्ण वर्गीकरण - आईएएस - भारतीय प्रशासनिक सेवा, आईएफएस - भारतीय विदेश सेवा और आईपीएस - भारतीय पुलिस सेवाओं को सिविल सेवाओं के तहत चुना जा सकता है।","भारतीय नागरी सेवा ही आतापर्यंत भारतीय भूदृश्यातील सर्वात प्रतिष्ठित सेवांपैकी एक आहे. ही नोकरी केवळ भारतातील सर्वाधिक पगाराच्या नोकऱ्याच नव्हे तर नागरी सेवकांबद्दल लोकांच्या दृष्टिकोनाच्या दृष्टीने नोकरीची सुरक्षा आणि मूल्य देखील देते.

तीन महत्त्वपूर्ण वर्गीकरणे – IAS – भारतीय प्रशासकीय सेवा, IFS – भारतीय विदेश सेवा आणि IPS – भारतीय पोलीस सेवा नागरी सेवा अंतर्गत निवडल्या जाऊ शकतात."
What is the salary range of doctors?,"Government Hospitals – Minimum 25,000/ month.
Private Hospitals – Minimum Rs.35,000/ Month
Maximum earnings have no limit across the private practice","सरकारी अस्पताल - न्यूनतम 25,000/माह।
निजी अस्पताल - न्यूनतम रु.35,000/माह
निजी प्रैक्टिस में अधिकतम कमाई की कोई सीमा नहीं है","सरकारी रुग्णालये - किमान 25,000/महिना.
खाजगी रुग्णालये – किमान रु.35,000/महिना
खाजगी प्रॅक्टिसमध्ये कमाल कमाईची मर्यादा नाही"
what is the salary range of an IT professional? ,7 lacs to 50 lacs across the experience.,अनुभव भर में 7 लाख से 50 लाख।,संपूर्ण अनुभवामध्ये 7 लाख ते 50 लाख.
What is the salary range of an engineer?,"Minimum 30,000 – 1.5 lacs/month.","न्यूनतम 30,000 - 1.5 लाख/माह।","किमान 30,000 - 1.5 लाख/महिना."
How is engineering as a career?,"In a general scenario, engineering is a degree that acts as an essential qualification to extended and specialized qualifications. Over the years, engineering has emerged in a new light with cross mixes. One would not have imagined beyond Mechanical, Instrumentation, Electronics & Technology, Civil, Chemical, and Computer Engineering 2 decades ago. Today, we have specialized engineering verticals driven by the need of the hour and innovation. Genetic Engineering, Aerospace Engineering, Biotechnology Engineering, Agriculture Information Technology are promising professions and compensate handsomely.
Qualification Required:
A degree from IIT or a well-known technical institute from the country makes you the most sought-after candidate and brings along the best compensation.","एक सामान्य परिदृश्य में, इंजीनियरिंग एक डिग्री है जो विस्तारित और विशेष योग्यता के लिए एक आवश्यक योग्यता के रूप में कार्य करती है। इन वर्षों में, इंजीनियरिंग क्रॉस मिक्स के साथ एक नई रोशनी में उभरी है। 2 दशक पहले मैकेनिकल, इंस्ट्रुमेंटेशन, इलेक्ट्रॉनिक्स एंड टेक्नोलॉजी, सिविल, केमिकल और कंप्यूटर इंजीनियरिंग से आगे की कल्पना किसी ने नहीं की होगी। आज, हमारे पास समय की आवश्यकता और नवप्रवर्तन द्वारा संचालित विशेष इंजीनियरिंग कार्यक्षेत्र हैं। जेनेटिक इंजीनियरिंग, एयरोस्पेस इंजीनियरिंग, बायोटेक्नोलॉजी इंजीनियरिंग, कृषि सूचना प्रौद्योगिकी आशाजनक पेशे हैं और अच्छी तरह से क्षतिपूर्ति करते हैं।
योग्यता आवश्यक:
IIT या देश के एक प्रसिद्ध तकनीकी संस्थान से डिग्री आपको सबसे अधिक मांग वाला उम्मीदवार बनाती है और सबसे अच्छा मुआवजा लाती है।","सर्वसाधारण परिस्थितीत, अभियांत्रिकी ही एक पदवी आहे जी विस्तारित आणि विशेष पात्रतेसाठी आवश्यक पात्रता म्हणून कार्य करते. वर्षानुवर्षे, अभियांत्रिकी क्रॉस मिक्ससह नवीन प्रकाशात उदयास आली आहे. मेकॅनिकल, इन्स्ट्रुमेंटेशन, इलेक्ट्रॉनिक्स आणि टेक्नॉलॉजी, सिव्हिल, केमिकल आणि कॉम्प्युटर इंजिनिअरिंगच्या पलीकडे 2 दशकांपूर्वी कोणीही कल्पना केली नसेल. आज, आमच्याकडे काळाची गरज आणि नावीन्यपूर्ण अभियांत्रिकी वर्टिकल आहेत. अनुवांशिक अभियांत्रिकी, एरोस्पेस अभियांत्रिकी, जैवतंत्रज्ञान अभियांत्रिकी, कृषी माहिती तंत्रज्ञान हे आशादायक व्यवसाय आहेत आणि त्याची भरपाई चांगली आहे.
आवश्यक पात्रता:
IIT ची पदवी किंवा देशातील एखाद्या सुप्रसिद्ध तांत्रिक संस्थेची पदवी तुम्हाला सर्वात जास्त मागणी असलेला उमेदवार बनवते आणि उत्तम मोबदला देते."
How is IT as an profession? ,"The various verticals under IT come with the need of the changing phase of the software development arena and its full application. IT has lured many professionals to emerge in India as one of the top IT service providers in the world.  the changing technology deserves versatile professionals who ride the wave of change and hence, benefit the best on salaries.

Some of the challenging and sought-after verticals in IT that promise lucrative salaries are – Big data engineer, Cloud engineer, Mobile apps development, Data security, Data architect, Information systems security, etc.

Information Technology revolves around data and how it can be best guarded and utilized to generate business.
Qualification Required:
An engineering degree from a well-known institute which has a good recruitment campus and expertise in trending technology can promise a captivating salary. Tech courses, software-hardware engineers, software testers, computer science, app developer, etc.","आईटी के अंतर्गत विभिन्न कार्यक्षेत्र सॉफ्टवेयर विकास क्षेत्र के बदलते चरण और इसके पूर्ण अनुप्रयोग की आवश्यकता के साथ आते हैं। आईटी ने कई पेशेवरों को भारत में दुनिया के शीर्ष आईटी सेवा प्रदाताओं में से एक के रूप में उभरने का लालच दिया है। बदलती प्रौद्योगिकी बहुमुखी पेशेवरों के योग्य है जो परिवर्तन की लहर की सवारी करते हैं और इसलिए, वेतन पर सर्वोत्तम लाभ प्राप्त करते हैं।

आईटी में कुछ चुनौतीपूर्ण और मांग वाले कार्यक्षेत्र हैं जो आकर्षक वेतन का वादा करते हैं - बिग डेटा इंजीनियर, क्लाउड इंजीनियर, मोबाइल ऐप डेवलपमेंट, डेटा सुरक्षा, डेटा आर्किटेक्ट, सूचना प्रणाली सुरक्षा, आदि।

सूचना प्रौद्योगिकी डेटा के इर्द-गिर्द घूमती है और यह कैसे सबसे अच्छी तरह से संरक्षित और व्यवसाय उत्पन्न करने के लिए उपयोग किया जा सकता है।
योग्यता आवश्यक:
एक प्रसिद्ध संस्थान से इंजीनियरिंग की डिग्री, जिसके पास एक अच्छा भर्ती परिसर है और ट्रेंडिंग टेक्नोलॉजी में विशेषज्ञता है, एक आकर्षक वेतन का वादा कर सकता है। टेक कोर्स, सॉफ्टवेयर-हार्डवेयर इंजीनियर, सॉफ्टवेयर टेस्टर, कंप्यूटर साइंस, ऐप डेवलपर आदि शामिल हैं।","IT अंतर्गत विविध अनुलंब सॉफ्टवेअर डेव्हलपमेंट क्षेत्राच्या बदलत्या टप्प्यात आणि त्याच्या संपूर्ण वापराच्या गरजेनुसार येतात. IT ने अनेक व्यावसायिकांना भारतातील जगातील शीर्ष IT सेवा प्रदात्यांपैकी एक म्हणून उदयास येण्याचे आमिष दिले आहे. बदलते तंत्रज्ञान अष्टपैलू व्यावसायिकांना पात्र आहे जे बदलाच्या लाटेवर स्वार होतात आणि म्हणूनच, पगारावर सर्वोत्तम लाभ घेतात.

किफायतशीर पगाराचे आश्वासन देणारे IT मधील काही आव्हानात्मक आणि शोधलेले वर्टिकल आहेत – बिग डेटा इंजिनियर, क्लाउड इंजिनियर, मोबाइल अॅप्स डेव्हलपमेंट, डेटा सुरक्षा, डेटा आर्किटेक्ट, माहिती प्रणाली सुरक्षा इ.

माहिती तंत्रज्ञान डेटाभोवती फिरते आणि व्यवसाय निर्माण करण्यासाठी ते कसे चांगले संरक्षित आणि कसे वापरले जाऊ शकते.
आवश्यक पात्रता:
उत्तम रिक्रूटमेंट कॅम्पस आणि ट्रेंडिंग टेक्नॉलॉजीमध्ये कौशल्य असलेल्या सुप्रसिद्ध संस्थेची अभियांत्रिकी पदवी आकर्षक पगाराचे आश्वासन देऊ शकते. टेक कोर्सेस, सॉफ्टवेअर-हार्डवेअर इंजिनीअर्स, सॉफ्टवेअर टेस्टर्स, कॉम्प्युटर सायन्स, अॅप डेव्हलपर इ."
How is doctor an a career?,"Doctors are usually seen in their private practice and known to make an enormous amount of money. with private practice also comes a lot of responsibility and ownership of cases. It also means running the show all alone and maintaining the working of the clinics and salaries.

Doctors involved in a job with public or private hospitals also draw a rewarding salary depending on their specializations. Many public and private hospitals bring in a specialist and pay them handsomely as these specialists bring significant value to the hospital brand.
Qualification Required:
Eligibility criteria for Doctors are studies at good medical colleges, Working hard during MBBS, BDS, MD, BAMS, etc After 12th Class
Salary Range:
Government Hospitals – Minimum 25,000/ month.
Private Hospitals – Minimum Rs.35,000/ Month
Maximum earnings have no limit across the private practice","डॉक्टरों को आमतौर पर उनके निजी अभ्यास में देखा जाता है और वे बहुत पैसा कमाने के लिए जाने जाते हैं। निजी प्रैक्टिस के साथ बहुत सारी जिम्मेदारी और मामलों का स्वामित्व भी आता है। इसका मतलब यह भी है कि अकेले ही शो चलाना और क्लीनिकों के कामकाज और वेतन को बनाए रखना।

सार्वजनिक या निजी अस्पतालों में नौकरी करने वाले डॉक्टर भी अपनी विशेषज्ञता के आधार पर एक पुरस्कृत वेतन प्राप्त करते हैं। कई सार्वजनिक और निजी अस्पताल एक विशेषज्ञ को लाते हैं और उन्हें अच्छी तरह से भुगतान करते हैं क्योंकि ये विशेषज्ञ अस्पताल के ब्रांड के लिए महत्वपूर्ण मूल्य लाते हैं।
योग्यता आवश्यक:
डॉक्टरों के लिए पात्रता मानदंड अच्छे मेडिकल कॉलेजों में पढ़ाई, एमबीबीएस, बीडीएस, एमडी, बीएएमएस, आदि के दौरान 12 वीं कक्षा के बाद कड़ी मेहनत करना है।
वेतन सीमा:
सरकारी अस्पताल - न्यूनतम 25,000/माह।
निजी अस्पताल - न्यूनतम रु.35,000/माह
निजी प्रैक्टिस में अधिकतम कमाई की कोई सीमा नहीं है","डॉक्टर सहसा त्यांच्या खाजगी प्रॅक्टिसमध्ये दिसतात आणि प्रचंड पैसा कमावतात. खाजगी प्रॅक्टिसमध्ये केसेसची जबाबदारी आणि मालकी देखील येते. याचा अर्थ शो एकट्याने चालवणे आणि दवाखाने आणि पगाराचे कामकाज सांभाळणे.

सार्वजनिक किंवा खाजगी रुग्णालयांमध्ये नोकरीमध्ये गुंतलेले डॉक्टर देखील त्यांच्या स्पेशलायझेशनवर अवलंबून पुरस्कृत पगार घेतात. अनेक सार्वजनिक आणि खाजगी रुग्णालये तज्ञ आणतात आणि त्यांना चांगले पैसे देतात कारण हे तज्ञ रुग्णालयाच्या ब्रँडला महत्त्वपूर्ण मूल्य आणतात.
आवश्यक पात्रता:
डॉक्टरांसाठी पात्रता निकष म्हणजे चांगल्या वैद्यकीय महाविद्यालयात अभ्यास करणे, एमबीबीएस, बीडीएस, एमडी, बीएएमएस इ 12 वी नंतरच्या काळात कठोर परिश्रम करणे.
वेतन श्रेणी:
सरकारी रुग्णालये - किमान 25,000/महिना.
खाजगी रुग्णालये – किमान रु.35,000/महिना
खाजगी प्रॅक्टिसमध्ये कमाल कमाईची मर्यादा नाही"
What are the career options after graduating with a Bachelor's in physics?,"a) Pursue Masters's from IIT by cracking IITJAM or from any other university on Physics and earn a Ph.D.
b) Pursue your Masters from any IIT (or from any other University) and then pursue MTech by cracking GATE. 
c) Give an entrance test conducted by a few universities for Btech and get into some good Engineering Colleges.
d) Do Bachelors in Education(BEd) for a Teaching Job.
e) Get a job","a) IITJAM या किसी अन्य विश्वविद्यालय से भौतिकी में पास करके IIT से परास्नातक करें और पीएच.डी. अर्जित करें।
b) किसी भी IIT (या किसी अन्य विश्वविद्यालय से) से अपने परास्नातक का पीछा करें और फिर GATE को क्रैक करके एमटेक करें।
ग) बीटेक के लिए कुछ विश्वविद्यालयों द्वारा आयोजित प्रवेश परीक्षा दें और कुछ अच्छे इंजीनियरिंग कॉलेजों में प्रवेश लें।
d) टीचिंग जॉब के लिए बैचलर इन एजुकेशन (बीएड) करें।
ई) नौकरी प्राप्त करें","अ) IITJAM क्रॅक करून किंवा इतर कोणत्याही विद्यापीठातून भौतिकशास्त्रावर IIT मधून मास्टर्स करा आणि पीएच.डी मिळवा.
ब) कोणत्याही आयआयटी (किंवा इतर कोणत्याही विद्यापीठातून) तुमचे पदव्युत्तर शिक्षण घ्या आणि नंतर गेट क्रॅक करून एमटेकचा पाठपुरावा करा.
c) Btech साठी काही विद्यापीठांनी घेतलेली प्रवेश परीक्षा द्या आणि काही चांगल्या अभियांत्रिकी महाविद्यालयांमध्ये प्रवेश घ्या.
ड) अध्यापनाच्या नोकरीसाठी शिक्षणात पदवीधर (बीएड) करा.
e) नोकरी मिळवा"
What will be job opportunities available for an IISER student?,"Every year at IISERs some private pharma or chemical companies come to IISERs for placement. They pick up BS-MS students via interview. This happens at a regular basis at IISER Kolkata.
Some people, those who are not interested in research opt for UPSC or CAT. But their number is less compared to the other options.
For PhD students, most of them go for post doctoral position abroad. After post doctorate research experience, they get abosorbed in educational institutions like IITs, IISERs, various CSIR labs or they end up joining a high position in a private pharma/chemical company.","आईआईएसईआर में हर साल कुछ निजी फार्मा या रासायनिक कंपनियां आईआईएसईआर में प्लेसमेंट के लिए आती हैं। वे साक्षात्कार के माध्यम से बीएस-एमएस छात्रों को उठाते हैं। यह आईआईएसईआर कोलकाता में नियमित आधार पर होता है।
कुछ लोग, जो शोध में रुचि नहीं रखते हैं, वे यूपीएससी या कैट का विकल्प चुनते हैं। लेकिन इनकी संख्या अन्य विकल्पों की तुलना में कम है।
पीएचडी छात्रों के लिए, उनमें से ज्यादातर विदेश में पोस्ट डॉक्टरेट पद के लिए जाते हैं। पोस्ट डॉक्टरेट अनुसंधान अनुभव के बाद, वे आईआईटी, आईआईएसईआर, विभिन्न सीएसआईआर प्रयोगशालाओं जैसे शैक्षणिक संस्थानों में अवशोषित हो जाते हैं या वे एक निजी फार्मा / रासायनिक कंपनी में उच्च पद पर आसीन हो जाते हैं।","दरवर्षी IISER मध्ये काही खाजगी फार्मा किंवा केमिकल कंपन्या IISER मध्ये प्लेसमेंटसाठी येतात. ते बीएस-एमएस विद्यार्थ्यांना मुलाखतीद्वारे निवडतात. हे IISER कोलकाता येथे नियमितपणे घडते.
काही लोक, ज्यांना संशोधनात रस नाही ते UPSC किंवा CAT चा पर्याय निवडतात. परंतु त्यांची संख्या इतर पर्यायांच्या तुलनेत कमी आहे.
पीएचडी विद्यार्थ्यांसाठी, त्यापैकी बहुतेक परदेशात पोस्ट डॉक्टरेट पदासाठी जातात. पोस्ट डॉक्टरेट संशोधन अनुभवानंतर, ते IITs, IISERs, विविध CSIR लॅब यांसारख्या शैक्षणिक संस्थांमध्ये शोषले जातात किंवा ते खाजगी फार्मा/केमिकल कंपनीमध्ये उच्च पदावर रुजू होतात."
